prenom,fete,origine,signification
Aaron,22 juin,Hébraïque,Celui qui est éclairé
Abel,5 août,Hébraïque,"Souffle, vanité"
Adam,17 juin,Hébraïque / Arabe,Fait de terre
Adele,24 décembre,Germanique,Noble
Adèle,24 décembre,Germanique,Noble
Adrien,8 septembre,Latin,Originaire d'Adria
Agathe,5 février,Grec,"Bonne, vertueuse"
Agnes,21 janvier,Grec,"Pure, chaste"
Agnès,21 janvier,Grec,"Pure, chaste"
Alain,9 septembre,Celte,"Beau, harmonieux"
Alba,17 juin,Latin,"Blanche, aube"
Alban,22 juin,Latin,"Blanc, originaire d'Albe"
Albert,15 novembre,Germanique,Noble et brillant
Alexandra,20 mars,Grec,Protectrice de l'homme
Alexandre,22 avril,Grec,Protecteur de l'homme
Alexis,17 février,Grec,Celui qui repousse
Alfred,15 août,Anglo-Saxon,Conseil des elfes
Alice,16 décembre,Germanique,Noble
Alienor,1 juillet,Arabe,
Aline,20 octobre,Germanique,Noble
Alix,9 janvier,Germanique,Noble
Alma,25 octobre,Latin,"Nourricière, bienveillante"
Amandine,9 juillet,Latin,Digne d'être aimée
Ambre,7 décembre,Arabe,"Ambre, pierre précieuse"
Amelie,19 septembre,Germanique,Travailleuse
Amélie,19 septembre,Germanique,Travailleuse
Anais,26 juillet,Hébraïque,Grâce
Andre,30 novembre,Grec,"Homme courageux, viril"
André,30 novembre,Grec,"Homme courageux, viril"
Andree,30 novembre,Grec,"Courageuse, virile"
Andrée,30 novembre,Grec,"Courageuse, virile"
Anna,26 juillet,Hébraïque,Grâce
Anne,26 juillet,Hébraïque,Grâce
Anne-marie,26 juillet,Hébraïque,Grâce + Goutte de mer
Anne-sophie,25 mai,Hébraïque / Grec,Grâce + Sagesse
Annie,26 juillet,Hébraïque,Grâce
Anthony,13 juin,Latin,Inestimable
Antoine,13 juin,Latin,Inestimable
Apolline,9 février,Grec,Consacrée à Apollon
Armand,23 décembre,Germanique,Homme fort
Arnaud,10 février,Germanique,Aigle puissant
Arthur,15 novembre,Celte,Ours
Audrey,23 juin,Anglo-Saxon,Noble force
Auguste,28 août,Latin,"Vénérable, majestueux"
Augustin,28 août,Latin,Vénérable
Aurelie,15 octobre,Latin,"En or, dorée"
Aurélie,15 octobre,Latin,"En or, dorée"
Axel,21 mars,Scandinave / Hébraïque,"Père de la paix, forme scandinave d'Absalon"
Baptiste,24 juin,Grec,Celui qui baptise
Basile,2 janvier,Grec,Royal
Beatrice,13 février,Latin,Celle qui rend heureux
Béatrice,13 février,Latin,Celle qui rend heureux
Benjamin,31 mars,Hébraïque,Fils de la main droite
Benoit,11 juillet,Latin,
Benoît,11 juillet,Latin,Béni
Berenice,4 février,Germanique,
Bernadette,18 février,Germanique,Ours courageux
Bernard,20 août,Germanique,Ours courageux
Blanche,3 octobre,Germanique,"Blanche, brillante"
Brice,13 novembre,Celte,"Force, vigueur"
Brieuc,1 mai,Breton,"Estime, respect"
Brigitte,23 juillet,Celte,"Force, puissance"
Bruno,6 octobre,Germanique,"Brun, cuirasse"
Camille,3 mars,Latin,Qui assiste le prêtre
Capucine,5 octobre,Latin,Capuche
Caroline,17 juillet,Germanique,"Femme libre, vigoureuse"
Catherine,25 novembre,Grec,Pure
Cecile,22 novembre,Latin,Aveugle
Cécile,22 novembre,Latin,Aveugle
Cedric,7 janvier,Celte,Chef de guerre généreux
Cédric,7 janvier,Celte,Chef de guerre généreux
